neighborhood,program_count,total_cime_incidents,theft_from_motor_vehicle,auto_theft,public_disorder,larceny,all_other_crimes,burglary,drug_alcohol,other_crimes_against_persons,aggravated_assault,robbery,white_collar_crime,arson,murder,avgsocioeconscore,avgAccessToCareScore,avgMobidityScore,mortalityscore,avgBuiltEnvScore,avgOverallEquityScore,Total Population All,crime_per1000,theft_mv_per1000,auto_theft_per1000,disorder_per1000,larceny_per1000,other_per1000,burglary_per1000,drug_alcohol_per1000,crime_against_persons_per1000,assult_per1000,robbery_per1000,white_collar_per1000,arson_per1000,murder_per1000
Rosedale,104.0,916,228,186,135,99,52,105,16,51,24,9,9,2,0,4.0,4.0,3.0,4,4.5,3.9000001,2713,337.6336159233321,84.0398083302617,68.55879100626612,49.76041282712864,36.49096940656101,19.16697382970881,38.70254330998894,5.897530409141172,18.798378179137487,8.846295613711758,3.317360855141909,3.317360855141909,0.7371913011426465,0.0
Ruby Hill,593.0,3405,456,612,536,295,499,291,165,165,224,76,72,7,7,2.0,1.5,2.0,2,4.0,2.29999995,9946,342.348682887593,45.84757691534285,61.532274281118035,53.89101146189423,29.660164890408204,50.17092298411421,29.257993163080634,16.589583752262214,16.589583752262214,22.521616730343855,7.641262819223809,7.239091091896239,0.7038005228232455,0.7038005228232455
Skyland,284.0,1056,202,161,157,127,161,104,18,55,42,14,14,0,1,3.0,3.0,3.5,1,2.5,2.5999999,3421,308.6816720257235,59.04706226249635,47.062262496346094,45.893013738672906,37.12364805612394,47.062262496346094,30.40046769950307,5.261619409529378,16.07717041800643,12.277111955568547,4.092370651856182,4.092370651856182,0.0,0.29231218941829873
Sloan Lake,300.0,2724,663,443,433,412,162,342,37,52,79,50,45,5,1,2.5,4.0,2.0,3,4.0,3.0999999,8014,339.90516595957075,82.73022211130522,55.27826303968056,54.03044671824307,51.41003244322435,20.214624407287246,42.67531819316197,4.616920389318692,6.488644871474919,9.857748939356128,6.239081607187423,5.61517344646868,0.6239081607187422,0.12478163214374845
South Park Hill,311.0,2390,504,386,410,322,177,274,57,94,69,50,37,4,6,4.5,5.0,4.5,4,2.0,4.0,9321,256.4102564102564,54.07145156099131,41.41186567964811,43.98669670636198,34.54564960841112,18.989378822014803,29.39598755498337,6.115223688445446,10.084754854629333,7.402639201802382,5.3642313056539,3.969531166183886,0.429138504452312,0.643707756678468
Southmoor Park,19.0,2059,604,453,346,242,83,140,28,59,40,17,46,1,0,4.0,4.5,3.0,5,1.5,3.5999999,6050,340.3305785123967,99.83471074380165,74.87603305785125,57.1900826446281,40.0,13.719008264462811,23.140495867768593,4.62809917355372,9.75206611570248,6.6115702479338845,2.809917355371901,7.603305785123967,0.1652892561983471,0.0
Speer,80.0,6002,1485,1031,921,1194,305,534,96,135,104,78,100,16,3,4.0,3.5,3.0,2,3.5,3.20000005,11982,500.9180437322651,123.93590385578368,86.04573526957101,76.86529794692038,99.64947421131698,25.454848940076783,44.566850275413124,8.01201802704056,11.26690035052579,8.679686195960608,6.5097646469704555,8.345852111500584,1.3353363378400935,0.2503755633450175
Sun Valley,104.0,2221,199,249,364,277,408,152,164,175,144,63,15,7,4,1.0,1.0,3.5,2,3.0,2.0999999,1133,1960.2824360105913,175.639894086496,219.77052074139453,321.2709620476611,244.4836716681377,360.10591350397175,134.15710503089142,144.74845542806707,154.45719329214475,127.09620476610766,55.60458958517211,13.23918799646955,6.17828773168579,3.53045013239188
Sunnyside,633.0,3874,758,678,653,478,344,398,107,108,153,102,84,10,1,2.0,3.0,2.5,2,2.5,2.4000001,10441,371.0372569677234,72.59841011397376,64.93630878268365,62.541902116655486,45.78105545445839,32.947035724547455,38.11895412316828,10.248060530600517,10.343836797241643,14.65376879609233,9.769179197394886,8.045206397854612,0.9577626664112633,0.09577626664112633
Union Station,7.0,11035,1212,674,1508,2200,1923,571,1163,809,559,248,139,21,8,3.5,3.5,4.0,5,5.0,4.19999981,8628,1278.975428836347,140.4728789986092,78.11775614279091,174.77978674084378,254.98377375985166,222.87899860917943,66.17987946221604,134.79369494668524,93.76448771441817,64.78905887807139,28.743625405656005,16.110338433008806,2.433936022253129,0.9272137227630969
University,235.0,2457,590,414,393,498,106,225,30,58,37,44,57,3,2,4.0,3.0,4.5,4,2.5,3.5999999,9922,247.6315259020359,59.46381777867366,41.72545857689982,39.60894980850635,50.191493650473696,10.683329973795605,22.676879661358598,3.023583954847813,5.845595646039105,3.729086877645636,4.434589800443459,5.744809514210845,0.3023583954847813,0.20157226365652087
University Hills,354.0,3099,569,350,446,826,164,268,206,75,57,59,76,3,0,4.0,4.5,2.5,3,3.5,3.5,6660,465.31531531531533,85.43543543543544,52.552552552552555,66.96696696696696,124.02402402402403,24.624624624624623,40.24024024024024,30.93093093093093,11.26126126126126,8.558558558558557,8.858858858858857,11.411411411411411,0.45045045045045046,0.0
